"unit","indicator","available_nuts_levels","unit_name","description","eurostat_code","title","geo","values","method","code13","code16","name","nuts_level","change","resolution","nuts_2016","nuts_2013","data_start","data_end","last_update_of_data","last_table_structure_change","retrieve_date","last_change","type"
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","AT11",134,"actual","AT11","AT11","Burgenland",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","AT12",782.3,"actual","AT12","AT12","Niederösterreich",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","AT13",796.1,"actual","AT13","AT13","Wien",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","AT21",257.5,"actual","AT21","AT21","Kärnten",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","AT22",584.6,"actual","AT22","AT22","Steiermark",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","AT31",719.2,"actual","AT31","AT31","Oberösterreich",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","AT32",273.8,"actual","AT32","AT32","Salzburg",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","AT33",369.8,"actual","AT33","AT33","Tirol",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","AT34",187.4,"actual","AT34","AT34","Vorarlberg",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"THS","lfst_r_lfe2emp_t_y_ge15_ths","0_1_2","thousand","Total; 15 years or over [thousand]","lfst_r_lfe2emp","Employment by sex, age and NUTS 2 regions (1 000)","BE10",412.6,"actual","BE10","BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest",2,"unchanged",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
